"horizon","n","mae_epiforecasts","mae_baseline","score"
1,405,9587.55185185185,4187.71851851852,-1.28944515001539
2,405,9415.46049382716,7040.32345679012,-0.337361919749058
3,404,10069.8292079208,9317.77475247525,-0.0807118089268859
4,404,11004.2301980198,9403.08415841584,-0.17027881625104
5,404,12574.7128712871,9179.90346534654,-0.369808835000907
6,404,14048.8985148515,8277.09900990099,-0.697321549258541
7,404,15389.3836633663,8519.73267326733,-0.806322364040149
8,404,15939.9975247525,9661.10891089109,-0.649913863074571
9,404,16428.7425742574,10906.8514851485,-0.506277278702097
10,403,17046.7729528536,12616.2580645161,-0.351175036661506
11,403,18769.4305210918,13357.3300248139,-0.405178316791145
12,403,20911.9416873449,14062.6104218362,-0.487059732158486
13,403,23531.9913151365,14437.4789081886,-0.629923857536492
14,403,26115.8560794045,14791.6153846154,-0.765585123756484
